Reference Number,Grid Ref: Easting,Grid Ref: Northing,Number of Vehicles,Accident Date,Time (24hr),1st Road Class,1st Road Class & No,Road Surface,Lighting Conditions,Weather Conditions,Local Authority,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Vehicle Number,Type of Vehicle
25D0638,409322,425195,2,13/05/2015,1233,6,U,1,1,1,Calderdale,3,3,1,74,2,9
2.50E+186,412521,425480,2,14/05/2015,640,3,A58,1,1,1,Calderdale,1,3,1,14,1,1
25E0394,409919,424831,3,14/05/2015,1015,6,U,1,1,1,Calderdale,1,3,2,53,1,9
25F0437,413201,423370,2,16/05/2015,830,6,U,1,1,1,Calderdale,1,1,1,81,1,9
25F0437,413201,423370,2,16/05/2015,830,6,U,1,1,1,Calderdale,1,3,1,45,2,9
25F1017,401033,425944,1,15/05/2015,1620,6,U,1,1,1,Calderdale,3,2,1,11,1,9
25G0950,407776,426725,1,16/05/2015,1456,6,U,1,1,1,Calderdale,2,2,1,2,1,90
25G1448,408111,424950,1,16/05/2015,1905,6,U,1,1,1,Calderdale,3,3,1,8,1,9
25H0734,393200,422241,2,17/05/2015,1300,3,A6033,1,1,1,Calderdale,2,3,1,29,2,9
25H0734,393200,422241,2,17/05/2015,1300,3,A6033,1,1,1,Calderdale,1,3,1,39,2,9
25J0784,409526,425400,1,19/05/2015,1519,6,U,1,1,1,Calderdale,3,3,1,66,1,9
25L0970,412961,429055,3,21/05/2015,1610,4,B6147,1,1,1,Calderdale,1,3,1,18,2,9
25L0970,412961,429055,3,21/05/2015,1610,4,B6147,1,1,1,Calderdale,2,3,1,19,2,9
25L0970,412961,429055,3,21/05/2015,1610,4,B6147,1,1,1,Calderdale,2,3,2,17,2,9
25L0970,412961,429055,3,21/05/2015,1610,4,B6147,1,1,1,Calderdale,2,3,1,19,2,9
25L0970,412961,429055,3,21/05/2015,1610,4,B6147,1,1,1,Calderdale,1,3,2,54,3,9
25L0970,412961,429055,3,21/05/2015,1610,4,B6147,1,1,1,Calderdale,1,3,1,44,1,9
25N0631,412203,428486,3,23/05/2015,1145,3,A6036,1,1,1,Calderdale,1,2,1,27,1,5
25P0236,409288,425309,1,25/05/2015,200,6,U,1,1,1,Calderdale,3,3,1,25,1,8
25Q0215,409301,424344,3,26/05/2015,800,3,A629,1,1,1,Calderdale,1,3,1,21,1,9
25Q0804,406673,424183,1,26/05/2015,1421,3,A58,1,1,1,Calderdale,1,3,1,23,1,3
25R0643,409048,425709,2,27/05/2015,1300,6,U,1,1,1,Calderdale,1,3,1,23,1,9
25R0643,409048,425709,2,27/05/2015,1300,6,U,1,1,1,Calderdale,2,3,2,18,1,9
25S1287,405553,419980,2,28/05/2015,1915,6,U,1,1,1,Calderdale,1,3,1,57,2,9
25T1222,407370,424513,2,29/05/2015,1908,6,U,1,1,1,Calderdale,1,3,1,34,2,9
25V0173,409166,425176,1,31/05/2015,150,6,U,2,6,2,Calderdale,3,3,1,19,1,8
25V0675,399456,427077,2,02/05/2015,1215,3,A6033,1,1,1,Calderdale,1,3,1,53,2,5
2610152,401718,415694,5,01/06/2015,600,1,M62,1,1,1,Calderdale,1,3,1,53,3,9
2610152,401718,415694,5,01/06/2015,600,1,M62,1,1,1,Calderdale,1,3,1,23,1,9
2611001,408875,424927,3,01/06/2015,1705,6,U,2,1,2,Calderdale,1,3,1,19,1,9
2611001,408875,424927,3,01/06/2015,1705,6,U,2,1,2,Calderdale,1,3,1,20,2,9
2611206,408551,424710,4,01/06/2015,1900,3,A58,2,1,5,Calderdale,1,3,1,42,2,9
2611206,408551,424710,4,01/06/2015,1900,3,A58,2,1,5,Calderdale,1,3,2,41,3,9
2611206,408551,424710,4,01/06/2015,1900,3,A58,2,1,5,Calderdale,1,3,1,37,4,9
2611206,408551,424710,4,01/06/2015,1900,3,A58,2,1,5,Calderdale,1,3,1,22,1,9
2620243,409167,423336,2,02/06/2015,810,3,A646,1,1,1,Calderdale,1,3,1,35,2,5
2641024,416302,422216,2,04/06/2015,1559,3,A644,1,1,1,Calderdale,1,3,2,47,2,9
2641024,416302,422216,2,04/06/2015,1559,3,A644,1,1,1,Calderdale,2,3,2,27,2,9
2641024,416302,422216,2,04/06/2015,1559,3,A644,1,1,1,Calderdale,2,3,2,25,2,9
2641024,416302,422216,2,04/06/2015,1559,3,A644,1,1,1,Calderdale,2,3,2,60,2,9
2641024,416302,422216,2,04/06/2015,1559,3,A644,1,1,1,Calderdale,2,3,2,44,2,9
2651064,409829,421244,1,05/06/2015,1542,6,U,1,1,1,Calderdale,2,3,2,10,1,9
2661366,409383,424002,2,05/06/2015,1903,3,A629,1,1,1,Calderdale,1,2,2,34,1,9
2661366,409383,424002,2,05/06/2015,1903,3,A629,1,1,1,Calderdale,1,3,2,40,2,9
2670541,413334,420673,2,31/05/2015,1005,3,A6107,1,1,1,Calderdale,1,2,1,25,1,1
2681281,409817,423721,2,08/06/2015,1835,6,U,1,1,1,Calderdale,3,2,2,9,1,9
2681382,398749,420216,2,08/06/2015,1930,4,B6138,1,1,1,Calderdale,1,3,1,49,1,21
2691104,414698,422381,2,09/06/2015,1710,3,A641,1,1,1,Calderdale,1,2,2,24,2,4
2691337,414637,421842,2,09/06/2015,1725,3,A641,1,1,1,Calderdale,1,3,1,42,1,3
26A0197,410998,419530,2,10/06/2015,630,3,A62,1,1,1,Calderdale,1,3,1,43,2,1
26C0626,411147,420892,2,12/06/2015,1800,4,B6114,1,1,1,Calderdale,1,3,1,19,2,1
26D0572,405219,424049,2,13/06/2015,1110,6,U,1,1,1,Calderdale,1,3,1,28,1,9
26D0572,405219,424049,2,13/06/2015,1110,6,U,1,1,1,Calderdale,2,3,2,29,2,9
26D0643,405791,424170,3,13/06/2015,1214,3,A6139,1,1,1,Calderdale,1,3,1,52,2,21
26D1511,408486,425374,2,13/06/2015,2050,6,U,1,1,1,Calderdale,2,3,2,24,1,9
26F0455,403480,417104,3,15/06/2015,1045,3,A672,1,1,1,Calderdale,1,2,1,42,3,1
26G0625,408279,428379,2,16/06/2015,1225,6,U,1,1,1,Calderdale,1,3,1,42,1,19
26G0763,416729,422106,2,16/06/2015,1343,3,A644,1,1,1,Calderdale,1,3,1,60,2,19
26G1544,406738,423909,1,16/06/2015,1720,3,A58,1,1,1,Calderdale,2,3,1,3,1,11
26H0643,414762,424781,2,17/06/2015,1252,3,A641,2,1,2,Calderdale,1,3,2,52,2,9
26H0643,414762,424781,2,17/06/2015,1252,3,A641,2,1,2,Calderdale,1,3,2,25,1,9
26H1135,399454,429822,1,17/06/2015,1330,3,A6033,2,1,2,Calderdale,3,3,2,30,1,9
26I0316,409639,423266,2,18/06/2015,950,3,A629,1,1,1,Calderdale,1,3,1,50,1,8
26I0316,409639,423266,2,18/06/2015,950,3,A629,1,1,1,Calderdale,2,3,2,44,1,8
26I0316,409639,423266,2,18/06/2015,950,3,A629,1,1,1,Calderdale,1,3,1,28,2,9
26I1011,412969,429009,2,18/06/2015,1605,3,A6036,1,1,4,Calderdale,1,3,1,51,2,1
26I1252,407049,423756,1,18/06/2015,1715,6,U,1,1,1,Calderdale,3,3,2,30,1,9
26K0652,409976,423677,2,20/06/2015,1200,6,U,2,1,1,Calderdale,1,3,1,36,2,9
26K0993,405066,425221,1,20/06/2015,1430,6,U,1,1,1,Calderdale,1,3,2,20,1,17
26K1898,413471,421751,2,20/06/2015,2305,6,U,1,4,1,Calderdale,2,3,2,22,2,8
26M1333,405963,426561,1,22/06/2015,1850,6,U,1,1,1,Calderdale,1,2,1,17,1,4
26N1093,408130,427347,3,23/06/2015,1730,3,A629,1,1,1,Calderdale,1,3,1,35,1,9
26N1093,408130,427347,3,23/06/2015,1730,3,A629,1,1,1,Calderdale,2,3,2,74,2,9
26P0592,414282,422918,2,25/06/2015,1200,3,A644,1,1,1,Calderdale,1,3,1,18,1,3
26P0706,413905,421723,1,25/06/2015,1310,3,A643,1,1,1,Calderdale,1,3,2,71,1,9
26P0732,409108,425262,2,25/06/2015,1320,6,U,1,1,1,Calderdale,1,2,1,45,2,1
26Q1545,404936,419998,1,26/06/2015,2030,4,B6112,1,1,1,Calderdale,2,3,1,24,1,9
